row_id,task,label,variety_name,source_name,text,text_norm
768,sentiment,1,en-AU,Google,"Got the momo burger for under 30. I really like the meaty flavour of the patty. It savoury, slightly sweet, and flavours are really nice. Initially I thought the flavour was n't as strong as what I like, but towards the end of the meal, I found it to be just right for the portion as any stronger and I probably wo n't be able to finish it. The chips are good too, crispy on the outside, soft in the middle, though it was a bit plain and not really seasoned. Overall it pretty good, would try again next time.","Got the momo burger for under <num>. I really like the meaty flavour of the patty. It savoury, slightly sweet, and flavours are really nice. Initially I thought the flavour was n't as strong as what I like, but towards the end of the meal, I found it to be just right for the portion as any stronger and I probably wo n't be able to finish it. The chips are good too, crispy on the outside, soft in the middle, though it was a bit plain and not really seasoned. Overall it pretty good, would try again next time."
4316,sentiment,0,en-IN,Google,We get minimum bakery items n milk tea coffee here.,We get minimum bakery items n milk tea coffee here.
6404,sentiment,0,en-UK,Google,They make best seats unavailable about hours before closing,They make best seats unavailable about hours before closing
212,sentiment,0,en-AU,Google,"Dinner tonight, maximum 3 by Sydney standards. Only tbone( 55) was good. Pork, fish, goat were all avg. Waitress could have been more pleasant. Noted pork servings were lacking( just too much mash). Below avg pub meal except tbone, very good.","Dinner tonight, maximum <num> by Sydney standards. Only tbone( <num>) was good. Pork, fish, goat were all avg. Waitress could have been more pleasant. Noted pork servings were lacking( just too much mash). Below avg pub meal except tbone, very good."
7590,sentiment,1,en-UK,Google,"Our inaugural visit to the cafe in Wakefield City Center unfolded as a pleasant surprise, marked by affordability and hearty portions. Although the name eludes my memory, the overall experience left a lasting impression. The cafe proved to be a budget-friendly haven, offering a range of options without denting the wallet. We opted for a burger meal and a hot wings meal, enticed by the promise of satisfying our hunger without breaking the bank. The portions were generous, a welcome sight for voracious appetites. The burger meal and hot wings meal arrived promptly, exuding tempting aromas that hinted at the flavors awaiting exploration. The affordability-to-portion ratio set the stage for what promised to be a fulfilling dining experience. The first bites revealed a commendable effort in crafting enjoyable fare. While the flavors were commendable, the lack of a satisfying crunch was a notable point of consideration. Despite the minor crispiness setback, the food resonated well with my hunger-stricken state. The savory notes and ample portions compensated for the nuanced aspect, ensuring an enjoyable meal. It's a testament to the cafe ability to deliver on the fundamental promise of satiating hunger at an affordable price. Regrettably, the cafe name escapes my recollection, hindering the ability to give due credit to this hidden gem in Wakefield City Center. The overall enjoyment of the food and the satisfaction of a well-fed appetite make this establishment a contender for future visits. A hidden gem indeed, awaiting a more memorable encore. # WakefieldCafeExperience # AffordableEats","Our inaugural visit to the cafe in Wakefield City Center unfolded as a pleasant surprise, marked by affordability and hearty portions. Although the name eludes my memory, the overall experience left a lasting impression. The cafe proved to be a budget-friendly haven, offering a range of options without denting the wallet. We opted for a burger meal and a hot wings meal, enticed by the promise of satisfying our hunger without breaking the bank. The portions were generous, a welcome sight for voracious appetites. The burger meal and hot wings meal arrived promptly, exuding tempting aromas that hinted at the flavors awaiting exploration. The affordability-to-portion ratio set the stage for what promised to be a fulfilling dining experience. The first bites revealed a commendable effort in crafting enjoyable fare. While the flavors were commendable, the lack of a satisfying crunch was a notable point of consideration. Despite the minor crispiness setback, the food resonated well with my hunger-stricken state. The savory notes and ample portions compensated for the nuanced aspect, ensuring an enjoyable meal. It's a testament to the cafe ability to deliver on the fundamental promise of satiating hunger at an affordable price. Regrettably, the cafe name escapes my recollection, hindering the ability to give due credit to this hidden gem in Wakefield City Center. The overall enjoyment of the food and the satisfaction of a well-fed appetite make this establishment a contender for future visits. A hidden gem indeed, awaiting a more memorable encore. # WakefieldCafeExperience # AffordableEats"
6385,sentiment,1,en-UK,Google,"Been wanting to try this place for ages. Went an hour after opening and luckily it was n't busy. Went with the Tray 3 I think it was called, brisket, chips, mixed veg and peppercorn sauce. Brisket was tender and juicy however i expected it to be seasoned but it was plain. I had to pair every bite with the peppercorn sauce. Veg was decent, chips were nice. Good customer service. I do recommend it.","Been wanting to try this place for ages. Went an hour after opening and luckily it was n't busy. Went with the Tray <num> I think it was called, brisket, chips, mixed veg and peppercorn sauce. Brisket was tender and juicy however i expected it to be seasoned but it was plain. I had to pair every bite with the peppercorn sauce. Veg was decent, chips were nice. Good customer service. I do recommend it."
5,sentiment,0,en-AU,Google,"Staff do n't seem to care anymore. Manager serving people the day I visited does n't have service skills at all. I did not see anyone smile on anyone. There were 3 napkins on the floor I watched that no one cared to pick up. We used to get in trouble with this. We used to get trained to do a 2-part greeting and farewell. Sadly, since the kiosk was introduced, staff became a robot, too. I used to love working here and was proud of how great it was. But nowadays people only work for money and no fulfilment. I'm leaving feedback hoping that I can still be proud to say I used to work here.","Staff do n't seem to care anymore. Manager serving people the day I visited does n't have service skills at all. I did not see anyone smile on anyone. There were <num> napkins on the floor I watched that no one cared to pick up. We used to get in trouble with this. We used to get trained to do a <num>-part greeting and farewell. Sadly, since the kiosk was introduced, staff became a robot, too. I used to love working here and was proud of how great it was. But nowadays people only work for money and no fulfilment. I'm leaving feedback hoping that I can still be proud to say I used to work here."
3553,sentiment,1,en-IN,Google,Most popular place in Nellore near Vijay Mahal gate evening time it's not that rush but morning it is very crowded be aware people who are going in the morning times,Most popular place in Nellore near Vijay Mahal gate evening time it's not that rush but morning it is very crowded be aware people who are going in the morning times
941,sentiment,1,en-AU,Google,Beautiful meals and fast cocktails. Waitress was lovely.,Beautiful meals and fast cocktails. Waitress was lovely.
544,sentiment,1,en-AU,Google,"Small gallery with 2 exhibitions on, one was free and the other paid. Friendly and welcoming staff.","Small gallery with <num> exhibitions on, one was free and the other paid. Friendly and welcoming staff."
